
;─
;범용 캐릭터 라인 변수
;─

;<※>       현재 정의(대입)를 하지 않은 플래그
;! 말소 예정! 말소 예정 플래그(주로 후방 호환이기 때문에 존재)

;─
;굴복 실적명        신규 추가＋α@revkoishi(14/05/28)
;─
;   기존분           Lv1( 0～11) 굴복 포인트+1
1300,호의적반응,    ;【굴복:0】호의적반응(조교 대상이 적극적 따르는 계를 선택)
1301,전라,          ;【굴복:1】알몸에 벗겼다(MASTER의 의복이 없어진다)(※양말등은 착의에 세지 않는다)
1302,발기,          ;【굴복:2】발기시켰다(발기도 1000 돌파)
1303,쾌C,          ;【굴복:3】쾌C를 1000이상 주었다
1304,쾌V,          ;【굴복:4】쾌V를 1000이상 주었다
1305,쾌A,          ;【굴복:5】쾌A를 1000이상 준 쾌B가 되어 있었으므로 쾌A에 수정@revkoishi(14/06/01)
1306,쾌B,          ;【굴복:6】쾌B를 1000이상 준 쾌A가 되어 있었으므로 쾌B에 수정@revkoishi(14/06/01)
1307,위압,          ;【굴복:7】고통, 공포(하지만 발생)
1308,채찍,            ;【굴복:8】채찍으로 두드렸다
1309,A조교,        ;【굴복:9】애널 조교(쾌A발생)
1310,구속,          ;【굴복:10】구속했다
1311,키스,          ;【굴복:11】키스
;                   Lv2(12～33) 굴복 포인트+2
1312,C절정,        ;【굴복:12】C절정
1313,V절정,        ;【굴복:13】V절정
1314,A절정,        ;【굴복:14】A절정
1315,B절정,        ;【굴복:15】B절정
1316,야외,          ;【굴복:16】야외플레이
1317,대거울,          ;【굴복:17】수치플레이
1318,방뇨,          ;【굴복:18】방뇨시켰다(조교 대상이 따르는 계를 선택)
1319,사정,          ;【굴복:19】사정
1320,대량사정,      ;【굴복:20】대량사정
1321,조루사정,      ;【굴복:21】사정(조루)
1322,피질내사정,    ;【굴복:22】질내사정 되었다
1323,바이브,        ;【굴복:23】바이브
1324,A도구,        ;【굴복:24】애널바이브, 비즈
1325,질내사정,      ;【굴복:25】질내사정
1326,자위절정,      ;【굴복:26】자위절정
1327,피입안사정,    ;【굴복:27】입안사정 되었다(페라/이라마중에 조교자가 사정)
1328,입안사정,      ;【굴복:28】입안사정(조교자 페라중에 사정)
1329,적극봉사,      ;【굴복:29】적극봉사(봉사계 혹은 다리 빨고/이라마중, 적극적으로 따른다)
1330,성교,          ;【굴복:30】성교
1331,허리를흔든다,      ;【굴복:31】허리를흔든다(성교중 적극적으로 따른다)
1332,정욕,          ;【굴복:32】정욕(조교 대상 상태가 정욕)
1333,초조하게함,        ;【굴복:33】초조하게해플레이
;                   Lv3(34～49) 굴복 포인트+3
1334,구속절정,      ;【굴복:34】구속절정
1335,관장,          ;【굴복:35】관장
1336,실금,          ;【굴복:36】실금
1337,다중절정,      ;【굴복:37】다중절정(복수 개소 동시절정)
1338,동시절정,      ;【굴복:38】동시절정(조교 대상, 조교자 동시절정)
1339,성교동시절정,  ;【굴복:39】성교동시절정(성교중, 삽입자 사정시에 피삽입자가 A/V절정)
1340,분유,          ;【굴복:40】분유
1341,항내사정,      ;【굴복:41】애널에 사정
1342,피항내사정,    ;【굴복:42】애널에 사정된다
1343,뽑지않고의2발,  ;【굴복:43】뽑지않고의 2발(사정 후 삽입을 중단하지 않고 사정)
1344,드라이사정,        ;【굴복:44】드라이사정
1345,전립선사정,    ;【굴복:45】전립선사정
1346,A성교·수,    ;【굴복:46】애널섹스(접수)
1347,A성교·공,    ;【굴복:47】애널섹스(공격)
1348,벌,      ;【굴복:48】벌(벌시, 공포/고통이 발생)
1349,가게해,      ;【굴복:49】가게해!
;                   Lv4(50～56) 굴복 포인트+5
1350,배설,          ;【굴복:50】배설(관장기＋플러그 해제시)
1351,공중변소,      ;【굴복:51】공중변소(공중육변기플레이 수용시)
1352,삼각목마,      ;【굴복:52】삼각목마
1353,V확장,        ;【굴복:53】V확장(피스트/양구멍피스트 때)
1354,A확장,        ;【굴복:54】A확장(A피스트/양구멍피스트 때)
1355,뽑지않고의세발,  ;【굴복:55】뽑지않고의세발(뽑지않고의 2발 후 삽입을 중단하지 않고 사정)
1356,실신,          ;【굴복:56】실신
;                   Lv5(57～58) 굴복 포인트+10
1357,처녀상실,      ;【굴복:57】처녀상실
1358,동정상실,      ;【굴복:58】동정상실
;   이하, 추가분     LvX(59～111) 굴복 포인트 +X
1359,물총,        ;【굴복:59】물총
1360,피질쏘아맞히고V절정,  ;【굴복:60】질내사정 V절정(조교자에게 질내사정 되었다고 동시에 조교 대상이 V절정)
1361,사중절정,      ;【굴복:61】사중절정
1362,젖었다,        ;【굴복:62】젖었다(윤활 1000 돌파)

;------------------------------------------------------------------------
;   구상용 리저브  LvX(112～127) 굴복 포인트 +X
1412,구상예약1,     ;【굴복:112】구상독자실적 용리저브 1
1413,구상예약2,     ;【굴복:113】구상독자실적 용리저브 2
1414,구상예약3,     ;【굴복:114】구상독자실적 용리저브 3
1415,구상예약4,     ;【굴복:115】구상독자실적 용리저브 4
1416,구상예약5,     ;【굴복:116】구상독자실적 용리저브 5
1417,구상예약6,     ;【굴복:117】구상독자실적 용리저브 6
1418,구상예약7,     ;【굴복:118】구상독자실적 용리저브 7
1419,구상예약8,     ;【굴복:119】구상독자실적 용리저브 8
1420,구상예약9,     ;【굴복:120】구상독자실적 용리저브 9
1421,구상예약10,    ;【굴복:121】구상독자실적 용리저브 10
1422,구상예약11,    ;【굴복:122】구상독자실적 용리저브 11
1423,구상예약12,    ;【굴복:123】구상독자실적 용리저브 12
1424,구상예약13,    ;【굴복:124】구상독자실적 용리저브 13
1425,구상예약14,    ;【굴복:125】구상독자실적 용리저브 14
1426,구상예약15,    ;【굴복:126】구상독자실적 용리저브 15
1427,구상예약16,    ;【굴복:127】구상독자실적 용리저브 16
;─
