 
;캐릭터 번호(NO)
番号,56
 
;이름(NAME), 통칭(CALLNAME)
名前,린노스케
呼び名,린노스케
 
;기초(BASE)
基礎,체력,1800
基礎,기력,1200
 
;소질(TALENT)
素質,호기심,
素質,선을그음,
素質,아픔에약함,
素質,습득빠름,
素質,도구사용,
素質,수동,
素質,신중,
素質,남자,
素質,촬영기술,
 
;능력(ABL)
能力,순종,0
能力,욕망,0
能力,기교,1
能力,Ｃ감각,1
能力,Ｖ감각,0
能力,Ａ감각,0
能力,Ｂ감각,0
能力,봉사정신,0
能力,노출증,0
能力,레즈끼,0
能力,ＢＬ끼,0
能力,마조끼,0
能力,자위중독,0
能力,정액중독,0
能力,레즈중독,0
能力,고통중독,0
能力,구속중독,0
能力,회화,0
能力,애무,0
能力,도구,5
能力,성교,0
能力,수치,0
能力,봉사,0
能力,가학,0
能力,이상,0
能力,사역,0
 
;경험(EXP)
経験,Ｃ경험,30
経験,절정경험,30
経験,자위경험,30
 
;궁합(RELATION)
相性,1,150,    ;레이무
相性,2,150,    ;마리사
 
;장착물(EQUIP)
装着物,악세사리,0,     ;1, 장갑, 2, 소매, 3, 깃옷
装着物,양말,1,           ;1, 삭스, 2, 니삭스, 3, 가터 스타킹, 4, 버선
装着物,하반신속옷,5,     ;1, 드로워즈, 2, 팬티, 3, 트렁크스, 4, 팬티 스타킹, 5, 곤
装着物,상반신속옷,0,     ;1, 브래지어, 2, 캐미숄, 3, 쬐어, 4, Ｔ셔츠
装着物,하반신윗도리,4,     ;1, 스커트, 2, 퀼로트, 3, 바지, 4, 하카마
装着物,상반신윗도리,1,     ;1, 윗도리
装着物,전신윗도리,0,       ;1, 기모노, 2, 도사옷, 3, 원피스
 
;캐릭터 정보(CSTR)
CSTR,이명,움직이지 않는 고물가게
CSTR,등장명,모리치카 린노스케
CSTR,로마자,Morichika Rinnosuke
CSTR,곡1,큐아리아스 샹하이고패
CSTR,곡2,밤의 하토야마를 난다
 
;호칭목록(CSTR)
CSTR,기본경칭,
CSTR,호칭목록,당신_군
 
